station,variable,doy,lo,med,hi,current
"Five Oaks, DeWitt",Biomass_kgha,192,2608.769,3082.272,3548.631,3174.162
"Five Oaks, DeWitt",Biomass_kgha,193,2735.334,3232.385,3713.345,3322.31
"Five Oaks, DeWitt",Biomass_kgha,194,2817.143,3386.803,3847.83,3473.751
"Five Oaks, DeWitt",Biomass_kgha,195,2938.558,3525.078,3969.559,3599.886
"Five Oaks, DeWitt",Biomass_kgha,196,3085.751,3680.083,4102.167,3735.051
"Five Oaks, DeWitt",Biomass_kgha,197,3229.171,3828.219,4209.073,3893.346
"Five Oaks, DeWitt",Biomass_kgha,198,3385.141,3963.714,4350.807,4036.622
"Five Oaks, DeWitt",Biomass_kgha,199,3539.411,4085.047,4462.103,4190.468
"Five Oaks, DeWitt",Biomass_kgha,200,3691.235,4232.721,4630.389,4343.31
"Five Oaks, DeWitt",Biomass_kgha,201,3826.453,4386.349,4782.129,4480.833
"Five Oaks, DeWitt",Biomass_kgha,202,3935.299,4538.223,4935.389,4603.741
"Five Oaks, DeWitt",Biomass_kgha,203,4079.249,4651.829,5088.549,4771.34
"Five Oaks, DeWitt",Biomass_kgha,204,4236.839,4800.375,5223.645,4926.634
"Five Oaks, DeWitt",Biomass_kgha,205,4402.141,4911.854,5384.477,5077.884
"Five Oaks, DeWitt",Biomass_kgha,206,4558.058,5043.839,5618.511,5288.119
"Five Oaks, DeWitt",Biomass_kgha,207,4645.945,5193.036,5853.238,5479.063
"Five Oaks, DeWitt",Biomass_kgha,208,4786.335,5324.981,6093.94,5671.605
"Five Oaks, DeWitt",Biomass_kgha,209,4920.169,5500.253,6342.025,5854.343
"Five Oaks, DeWitt",Biomass_kgha,210,5078.377,5696.412,6527.118,6069.389
"Five Oaks, DeWitt",Biomass_kgha,211,5241.526,5914.719,6778.914,6287.061
"Five Oaks, DeWitt",Biomass_kgha,212,5334.334,6104.579,7039.749,6524.266
"Five Oaks, DeWitt",Biomass_kgha,213,5459.473,6326.199,7234.517,6776.793
"Five Oaks, DeWitt",Biomass_kgha,214,5645.488,6542.543,7501.19,NA
"Five Oaks, DeWitt",Biomass_kgha,215,5831.197,6791.162,7765.989,NA
"Five Oaks, DeWitt",Biomass_kgha,216,5931.1,6981.757,8046.643,NA
"Five Oaks, DeWitt",Biomass_kgha,217,6048.005,7210.066,8332.564,NA
"Five Oaks, DeWitt",Biomass_kgha,218,6185.778,7408.54,8602.35,NA
"Five Oaks, DeWitt",Biomass_kgha,219,6300.078,7608.397,8819.864,NA
"Five Oaks, DeWitt",Biomass_kgha,220,6440.516,7811.103,8930.542,NA
"Five Oaks, DeWitt",Biomass_kgha,221,6622.35,8011.745,9053.095,NA
"Five Oaks, DeWitt",Biomass_kgha,222,6779.224,8240.955,9109.679,NA
"Five Oaks, DeWitt",Biomass_kgha,223,6922.091,8467.267,9330.173,NA
"Five Oaks, DeWitt",Biomass_kgha,224,7196.588,8674.929,9517.04,NA
"Five Oaks, DeWitt",Biomass_kgha,225,7359.053,8821.87,9666.913,NA
"Five Oaks, DeWitt",Biomass_kgha,226,7654.871,9065.819,9888.897,NA
"Five Oaks, DeWitt",Biomass_kgha,227,7930.698,9285.912,10125.304,NA
"Five Oaks, DeWitt",Biomass_kgha,228,8188.455,9466.675,10342.433,NA
"Five Oaks, DeWitt",Biomass_kgha,229,8424.927,9663.355,10557.591,NA
"Five Oaks, DeWitt",Biomass_kgha,230,8535.353,9849.059,10706.467,NA
"Five Oaks, DeWitt",Biomass_kgha,231,8799.579,10009.133,10883.028,NA
"Five Oaks, DeWitt",Biomass_kgha,232,8976.997,10110.257,11047.471,NA
"Five Oaks, DeWitt",Biomass_kgha,233,9098.355,10317.173,11163.559,NA
"Five Oaks, DeWitt",Biomass_kgha,234,9303.674,10466.033,11274.89,NA
"Five Oaks, DeWitt",Biomass_kgha,235,9454.36,10610.213,11387.574,NA
"Five Oaks, DeWitt",Biomass_kgha,236,9465.758,10777.704,11447.916,NA
"Five Oaks, DeWitt",Biomass_kgha,237,9652.062,10879.01,11488.013,NA
"Five Oaks, DeWitt",Biomass_kgha,238,9867.482,10981.717,11565.609,NA
"Five Oaks, DeWitt",Biomass_kgha,239,10061.518,11084.867,11628.193,NA
"Five Oaks, DeWitt",Biomass_kgha,240,10244.466,11177.048,11661.144,NA
"Five Oaks, DeWitt",Biomass_kgha,241,10386.781,11253.366,11724.348,NA
"Five Oaks, DeWitt",Biomass_kgha,242,10463.014,11277.237,11802.065,NA
"Five Oaks, DeWitt",Biomass_kgha,243,10416.244,11342.877,11884.71,NA
"Five Oaks, DeWitt",Biomass_kgha,244,10445.7,11377.352,11939.594,NA
"Five Oaks, DeWitt",Biomass_kgha,245,10462.371,11382.67,11997.702,NA
"Five Oaks, DeWitt",Biomass_kgha,246,10464.896,11394.758,12049.461,NA
"Five Oaks, DeWitt",Biomass_kgha,247,10415.467,11412.698,12138.497,NA
"Five Oaks, DeWitt",Biomass_kgha,248,10365.482,11432.359,12172.982,NA
"Five Oaks, DeWitt",Biomass_kgha,249,10316.705,11412.576,12242.116,NA
"Five Oaks, DeWitt",Biomass_kgha,250,10269.995,11396.179,12312.591,NA
"Five Oaks, DeWitt",Biomass_kgha,251,10225.621,11364.46,12291.063,NA
"Five Oaks, DeWitt",Biomass_kgha,252,0,11315.568,12342.796,NA
"Five Oaks, DeWitt",Biomass_kgha,253,0,11230.217,12374.932,NA
"Five Oaks, DeWitt",Biomass_kgha,254,0,11171.98,12338.333,NA
"Five Oaks, DeWitt",Biomass_kgha,255,0,11131.794,12289.142,NA
"Five Oaks, DeWitt",Biomass_kgha,256,0,11081.815,12239.733,NA
"Five Oaks, DeWitt",Biomass_kgha,257,0,10891.078,12190.112,NA
"Five Oaks, DeWitt",Biomass_kgha,258,0,0,12141.329,NA
"Five Oaks, DeWitt",Biomass_kgha,259,0,0,12094.985,NA
"Five Oaks, DeWitt",Biomass_kgha,260,0,0,12050.958,NA
"Five Oaks, DeWitt",Biomass_kgha,261,0,0,12009.132,NA
"Five Oaks, DeWitt",Biomass_kgha,262,0,0,11969.398,NA
"Five Oaks, DeWitt",Biomass_kgha,263,0,0,11931.651,NA
"Five Oaks, DeWitt",Biomass_kgha,264,0,0,11369.45,NA
"Five Oaks, DeWitt",Biomass_kgha,265,0,0,11330.582,NA
"Five Oaks, DeWitt",Biomass_kgha,266,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,267,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,268,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,269,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,270,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,271,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,272,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,273,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,274,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,275,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,276,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,277,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,278,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,279,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,280,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,281,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,282,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,283,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,284,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,285,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,286,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,287,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,288,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,289,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,290,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,291,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,292,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,293,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,294,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,295,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,296,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,297,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,298,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,299,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,300,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,301,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,302,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,303,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,304,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,305,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,306,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,307,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,308,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,309,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,310,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,311,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,312,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,313,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,314,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,315,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,316,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,317,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,318,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,319,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,320,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,321,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,322,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,323,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,324,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,325,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,326,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,327,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,328,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,329,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,330,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,331,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,332,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,333,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,334,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,335,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,336,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,337,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,338,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,339,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,340,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,341,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,342,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,343,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,344,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,345,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,346,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,347,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,348,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,349,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,350,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,351,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,352,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,353,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,354,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,355,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,356,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,357,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,358,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,359,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,360,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,361,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,362,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,363,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,364,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,365,0,0,0,NA
"Five Oaks, DeWitt",Biomass_kgha,366,0,0,0,NA
"Five Oaks, DeWitt",CummRain_in,1,24.458,36.702,64.807,36.017
"Five Oaks, DeWitt",CummRain_in,2,24.458,36.782,64.807,36.056
"Five Oaks, DeWitt",CummRain_in,3,24.458,37.094,64.809,36.056
"Five Oaks, DeWitt",CummRain_in,4,24.459,37.095,64.809,36.056
"Five Oaks, DeWitt",CummRain_in,5,24.663,37.1,64.809,36.056
"Five Oaks, DeWitt",CummRain_in,6,24.663,37.415,64.82,36.056
"Five Oaks, DeWitt",CummRain_in,7,24.663,37.416,64.903,36.056
"Five Oaks, DeWitt",CummRain_in,8,24.663,37.416,64.903,36.081
"Five Oaks, DeWitt",CummRain_in,9,25.036,37.418,64.903,36.685
"Five Oaks, DeWitt",CummRain_in,10,25.04,37.418,64.903,37.13
"Five Oaks, DeWitt",CummRain_in,11,25.04,37.759,64.903,37.13
"Five Oaks, DeWitt",CummRain_in,12,25.04,37.942,64.903,37.13
"Five Oaks, DeWitt",CummRain_in,13,25.04,38.274,64.903,37.141
"Five Oaks, DeWitt",CummRain_in,14,25.04,38.331,64.903,37.16
"Five Oaks, DeWitt",CummRain_in,15,25.042,38.356,64.903,37.16
"Five Oaks, DeWitt",CummRain_in,16,25.26,38.406,65.835,37.166
